SampleID,Plate,CollectionDate
Sample_WCDSEH,INF_P6,12/8/15
Sample_JXBDHJ,HMP_P6,5/9/16
Sample_PYOJOF,HMP_P6,8/8/16
Sample_WYSDQC,INF_P6,12/16/15
Sample_WWATBQ,INF_P6,9/12/14
Sample_PPRTJZ,INF_P6,9/15/14
Sample_UUONZD,INF_P6,9/18/14
Sample_GKEJCA,INF_P6,10/2/14
Sample_PYDSVP,geomean,5/10/13
Sample_BFMUAZ,INF_P7,7/9/13
Sample_CSFVGO,INF_P7,10/9/13
Sample_BIXPZC,INF_P7,5/7/14
Sample_MMNZVK,INF_P7,8/6/14
Sample_OJRWVJ,INF_P7,2/20/15
Sample_DNWAFK,INF_P7,7/21/15
Sample_MRCLPV,INF_P7,1/6/14
Sample_UTRGOH,INF_P7,1/8/14
Sample_GPIKJK,INF_P7,1/22/14
Sample_RETQAH,INF_P7,2/5/14
Sample_YMZFFT,INF_P7,10/30/15
Sample_GDRIWT,HMP_P6,8/3/16
Sample_QJLEMS,HMP_P6,11/30/16
Sample_YRQHOY,INF_P7,11/5/14
Sample_YFTMGL,INF_P7,11/6/14
Sample_YHYZXZ,INF_P7,11/10/14
Sample_GCRPGE,INF_P7,11/13/14
Sample_OWMXEA,INF_P7,11/25/14
Sample_MYBVUE,INF_P7,11/12/15
Sample_MDUJOA,INF_P7,11/13/15
Sample_DRXTOE,INF_P7,11/16/15
Sample_NCPKEB,INF_P7,11/20/15
Sample_GGEJOB,INF_P7,12/4/15
Sample_CWBFON,HMP_P7,5/8/13
Sample_GSOOHV,HMP_P7,4/2/14
Sample_ZFWNLW,HMP_P7,7/15/14
Sample_JXPYGR,HMP_P7,1/8/15
Sample_EQKKMY,HMP_P7,4/2/15
Sample_ZFAPGJ,HMP_P7,7/15/15
Sample_IMBVSC,HMP_P7,9/29/15
Sample_RBVLDF,INF_P7,4/2/14
Sample_JXADFQ,INF_P7,8/4/14
Sample_MGWDJA,INF_P7,11/4/14
Sample_JOMXSF,INF_P7,2/18/15
Sample_AJPPIE,INF_P7,6/16/15
Sample_ONFASB,INF_P7,9/18/15
Sample_LQMFGY,INF_P7,3/12/15
Sample_AYAYVW,INF_P7,3/18/15
Sample_QLCPJX,INF_P7,4/1/15
Sample_YGXKBS,INF_P7,4/22/15
Sample_MYTXQF,INF_P7,12/14/15
Sample_GHULTX,HMP_P7,4/12/16 12:24
Sample_CCIBWX,HMP_P7,8/16/16 13:17
Sample_GSZCHB,HMP_P7,11/15/16
Sample_CUCCXH,INF_P7,12/4/13
Sample_DEUXTD,INF_P7,12/10/13
Sample_LMPJUS,INF_P7,12/20/13
Sample_OILVLL,INF_P7,7/2/14
Sample_VBCGYQ,INF_P7,3/31/14
Sample_OEAYHU,HMP_P7,6/22/16 11:10
Sample_EQJTRV,INF_P7,1/23/14
Sample_FKOHOL,INF_P7,3/31/14
Sample_OSKLSM,INF_P7,7/2/14
Sample_NTDTEQ,INF_P7,2/20/15
Sample_BDVCNQ,INF_P7,4/13/15
Sample_TMFVJI,INF_P7,10/1/14
Sample_YQGGEK,INF_P7,10/3/14
Sample_SIDYDM,INF_P7,10/6/14
Sample_HIFXVJ,INF_P7,10/9/14
Sample_KIOUXQ,INF_P7,10/24/14
Sample_GSYEEV,HMP_P7,4/6/15
Sample_UVFBSM,HMP_P7,6/8/15
Sample_KWDMXH,HMP_P7,10/5/15
